business_name,phone_e164,city,category,demo_url,message
Marshall Plumbing,+12505852021,Nanaimo,Plumber,https://jaggyai.github.io/bc-demos/nanaimo/plumbers/marshall-plumbing/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Marshall Plumbing a free demo: https://jaggyai.github.io/bc-demos/nanaimo/plumbers/marshall-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Totem Plumbing Ltd,+12507585124,Nanaimo,Plumber,https://jaggyai.github.io/bc-demos/nanaimo/plumbers/totem-plumbing-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Totem Plumbing Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/plumbers/totem-plumbing-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Island Urban Construction Ltd,+16046009696,Nanaimo,Contractor,https://jaggyai.github.io/bc-demos/nanaimo/contractors/island-urban-construction-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Island Urban Construction Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/island-urban-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Good Marine Services - Electronics&Electrical Installation - Boat Repairs - Maintance,+12507566283,Nanaimo,Electrical installation service,https://jaggyai.github.io/bc-demos/nanaimo/electricians/good-marine-services-electronics-electrical-installation-boat-repairs-maintance/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Good Marine Services - Electronics&Electrical Installation - Boat Repairs - Maintance a free demo: https://jaggyai.github.io/bc-demos/nanaimo/electricians/good-marine-services-electronics-electrical-installation-boat-repairs-maintance/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Special-T Bathtub Restoration,+12506689414,Nanaimo,Bathroom remodeler,https://jaggyai.github.io/bc-demos/nanaimo/interior-design/special-t-bathtub-restoration/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Special-T Bathtub Restoration a free demo: https://jaggyai.github.io/bc-demos/nanaimo/interior-design/special-t-bathtub-restoration/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Mid-Island Stucco,+12507535082,Nanaimo,Stucco contractor,https://jaggyai.github.io/bc-demos/nanaimo/drywall/mid-island-stucco/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Mid-Island Stucco a free demo: https://jaggyai.github.io/bc-demos/nanaimo/drywall/mid-island-stucco/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Sam Paule Plumbing Ltd,+12507600910,Nanaimo,Plumber,https://jaggyai.github.io/bc-demos/nanaimo/plumbers/sam-paule-plumbing-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Sam Paule Plumbing Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/plumbers/sam-paule-plumbing-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Target Plumbing & Heating Ltd.,+12507563200,Nanaimo,Plumber,https://jaggyai.github.io/bc-demos/nanaimo/plumbers/target-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Target Plumbing & Heating Ltd. a free demo: https://jaggyai.github.io/bc-demos/nanaimo/plumbers/target-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Martell Refrigeration Ltd,+12507581731,Nanaimo,HVAC contractor,https://jaggyai.github.io/bc-demos/nanaimo/hvac/martell-refrigeration-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Martell Refrigeration Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/hvac/martell-refrigeration-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Westwind Mechanical,+12503279980,Nanaimo,HVAC contractor,https://jaggyai.github.io/bc-demos/nanaimo/hvac/westwind-mechanical/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Westwind Mechanical a free demo: https://jaggyai.github.io/bc-demos/nanaimo/hvac/westwind-mechanical/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Island Kiwi Construction,+17782461015,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/island-kiwi-construction/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Island Kiwi Construction a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/island-kiwi-construction/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Georgia View Home Builders Ltd,+12507399040,Nanaimo,Home builder,https://jaggyai.github.io/bc-demos/nanaimo/contractors/georgia-view-home-builders-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Georgia View Home Builders Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/georgia-view-home-builders-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Earthman Contracting,+12507556715,Nanaimo,General contractor,https://jaggyai.github.io/bc-demos/nanaimo/contractors/earthman-contracting/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Earthman Contracting a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/earthman-contracting/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Grandpa Bens Workshop,+12507539144,Nanaimo,Woodworker,https://jaggyai.github.io/bc-demos/nanaimo/carpenter/grandpa-bens-workshop/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Grandpa Bens Workshop a free demo: https://jaggyai.github.io/bc-demos/nanaimo/carpenter/grandpa-bens-workshop/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Penbay Construction Inc,+12507407665,Nanaimo,General contractor,https://jaggyai.github.io/bc-demos/nanaimo/contractors/penbay-construction-inc/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Penbay Construction Inc a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/penbay-construction-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Miranda Construction Ltd.,+12507589751,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/miranda-construction-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Miranda Construction Ltd. a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/miranda-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Titan Excavating,+12507414490,Nanaimo,Excavating contractor,https://jaggyai.github.io/bc-demos/nanaimo/excavating/titan-excavating/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Titan Excavating a free demo: https://jaggyai.github.io/bc-demos/nanaimo/excavating/titan-excavating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Zamco Enterprises Ltd,+12507581432,Nanaimo,Excavating contractor,https://jaggyai.github.io/bc-demos/nanaimo/excavating/zamco-enterprises-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Zamco Enterprises Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/excavating/zamco-enterprises-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Dueck General Contracting,+12507564480,Nanaimo,General contractor,https://jaggyai.github.io/bc-demos/nanaimo/contractors/dueck-general-contracting/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Dueck General Contracting a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/dueck-general-contracting/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Jamie's Stone Masonry,+12507514250,Nanaimo,Masonry contractor,https://jaggyai.github.io/bc-demos/nanaimo/concrete/jamies-stone-masonry/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Jamie's Stone Masonry a free demo: https://jaggyai.github.io/bc-demos/nanaimo/concrete/jamies-stone-masonry/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Concept Design Group,+12507511334,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/concept-design-group/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Concept Design Group a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/concept-design-group/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Daniel.Day General Contracting,+16042231495,Nanaimo,Flooring contractor,https://jaggyai.github.io/bc-demos/nanaimo/flooring/daniel-day-general-contracting/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Daniel.Day General Contracting a free demo: https://jaggyai.github.io/bc-demos/nanaimo/flooring/daniel-day-general-contracting/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
IMG Trade Services,+12505148208,Nanaimo,General contractor,https://jaggyai.github.io/bc-demos/nanaimo/contractors/img-trade-services/,"Hi, it's Jag - I build websites for Nanaimo businesses & built IMG Trade Services a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/img-trade-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Argo Contracting Ltd,+12506169026,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/argo-contracting-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Argo Contracting Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/argo-contracting-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
V I power sweep,+12506161833,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/v-i-power-sweep/,"Hi, it's Jag - I build websites for Nanaimo businesses & built V I power sweep a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/v-i-power-sweep/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Westrock Drilling Ltd,+12507589458,Nanaimo,General contractor,https://jaggyai.github.io/bc-demos/nanaimo/contractors/westrock-drilling-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Westrock Drilling Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/westrock-drilling-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Alan Rudson Custom Woodworking,+12506188110,Nanaimo,Woodworker,https://jaggyai.github.io/bc-demos/nanaimo/carpenter/alan-rudson-custom-woodworking/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Alan Rudson Custom Woodworking a free demo: https://jaggyai.github.io/bc-demos/nanaimo/carpenter/alan-rudson-custom-woodworking/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Allen Paving Ltd,+16046182304,Nanaimo,Paving contractor,https://jaggyai.github.io/bc-demos/nanaimo/concrete/allen-paving-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Allen Paving Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/concrete/allen-paving-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
K N Contracting,+12507559242,Nanaimo,Excavating contractor,https://jaggyai.github.io/bc-demos/nanaimo/excavating/k-n-contracting/,"Hi, it's Jag - I build websites for Nanaimo businesses & built K N Contracting a free demo: https://jaggyai.github.io/bc-demos/nanaimo/excavating/k-n-contracting/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Gamble Contracting - Residential Home Builder,+12507131198,Nanaimo,Home builder,https://jaggyai.github.io/bc-demos/nanaimo/contractors/gamble-contracting-residential-home-builder/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Gamble Contracting - Residential Home Builder a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/gamble-contracting-residential-home-builder/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Helm Installations,+12507532733,Nanaimo,General contractor,https://jaggyai.github.io/bc-demos/nanaimo/contractors/helm-installations/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Helm Installations a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/helm-installations/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Mike's Drywall & Renovations,+12507537559,Nanaimo,Dry wall contractor,https://jaggyai.github.io/bc-demos/nanaimo/drywall/mikes-drywall-renovations/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Mike's Drywall & Renovations a free demo: https://jaggyai.github.io/bc-demos/nanaimo/drywall/mikes-drywall-renovations/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Palmer installs,+17782554563,Nanaimo,Wood floor installation service,https://jaggyai.github.io/bc-demos/nanaimo/flooring/palmer-installs/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Palmer installs a free demo: https://jaggyai.github.io/bc-demos/nanaimo/flooring/palmer-installs/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Vancouver Island Stucco & Acrylic,+12506196520,Nanaimo,Stucco contractor,https://jaggyai.github.io/bc-demos/nanaimo/drywall/vancouver-island-stucco-acrylic/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Vancouver Island Stucco & Acrylic a free demo: https://jaggyai.github.io/bc-demos/nanaimo/drywall/vancouver-island-stucco-acrylic/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
